id,parent_id/id,code,name
__export__.sni_553,,553,Campingplatsverksamhet
__export__.sni_559,,559,Annan logiverksamhet
__export__.sni_561,,561,Restaurangverksamhet
__export__.sni_562,,562,Cateringverksamhet
__export__.sni_563,,563,Barverksamhet
__export__.sni_581,,581,Utgivning av böcker och tidskrifter och annan förlagsverksamhet
__export__.sni_582,,582,Utgivning av programvara
__export__.sni_591,,591,"Film-, video- och TV-programverksamhet"
__export__.sni_592,,592,Ljudinspelning och fonogramutgivning
__export__.sni_601,,601,Sändning av radioprogram
__export__.sni_602,,602,Planering av TV-program och sändningsverksamhet
__export__.sni_611,,611,Trådbunden telekommunikation
__export__.sni_612,,612,Trådlös telekommunikation
__export__.sni_613,,613,Telekommunikation via satellit
__export__.sni_619,,619,Annan telekommunikation
__export__.sni_620,,620,"Dataprogrammering, datakonsultverksamhet o.d."
__export__.sni_631,,631,"Databehandling, hosting o.d.; webbportaler"
__export__.sni_639,,639,Andra informationstjänster
__export__.sni_641,,641,Monetär finansförmedling
__export__.sni_642,,642,Holdingverksamhet
__export__.sni_643,,643,Fonder och liknande finansiella enheter
__export__.sni_649,,649,Andra finansiella tjänster utom försäkring och pensionsfondsverksamhet
__export__.sni_651,,651,Försäkring
__export__.sni_652,,652,Återförsäkring
__export__.sni_653,,653,Pensionsfondsverksamhet
__export__.sni_661,,661,Stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet
__export__.sni_662,,662,Stödtjänster till försäkrings- och pensionsfondsverksamhet
__export__.sni_663,,663,Fondförvaltning
__export__.sni_681,,681,Handel med egna fastigheter
__export__.sni_682,,682,Uthyrning och förvaltning av egna eller arrenderade fastigheter
__export__.sni_683,,683,Fastighetsförmedling och fastighetsförvaltning på uppdrag
__export__.sni_691,,691,Juridisk verksamhet
__export__.sni_692,,692,"Redovisning och bokföring, revision, skatterådgivning"
__export__.sni_701,,701,Verksamheter som utövas av huvudkontor
__export__.sni_702,,702,Konsulttjänster till företag
__export__.sni_711,,711,Arkitekt- och teknisk konsultverksamhet o.d.
__export__.sni_712,,712,Teknisk provning och analys
__export__.sni_721,,721,Naturvetenskaplig och teknisk forskning och utveckling
__export__.sni_722,,722,Samhällsvetenskaplig och humanistisk forskning och utveckling
__export__.sni_731,,731,Reklamverksamhet
__export__.sni_732,,732,Marknads- och opinionsundersökning
__export__.sni_741,,741,Specialiserad designverksamhet
__export__.sni_742,,742,Fotoverksamhet
__export__.sni_743,,743,Översättning och tolkning
__export__.sni_749,,749,"Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik"
__export__.sni_750,,750,Veterinärverksamhet
__export__.sni_771,,771,Uthyrning och leasing av motorfordon
__export__.sni_772,,772,Uthyrning och leasing av hushållsartiklar och varor för personligt bruk
__export__.sni_773,,773,Uthyrning och leasing av annan utrustning och andra maskiner och materiella tillgångar
__export__.sni_774,,774,"Leasing av immateriell egendom och liknande produkter, med undantag för upphovsrättsskyddade verk"
__export__.sni_781,,781,Arbetsförmedling och rekrytering
